basin_id,kge,violation_burden,dominant_class,violation_counts,n_evaluable,aridity_class,landcover_class
04216418,0.7599045275276828,0.08635221929618718,TimingFailure,"{'R0': 30, 'R1': 108, 'R2': 0, 'R3': 617, 'R4': 7, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5479, 'R2': 5479, 'R3': 5479, 'R4': 15, 'R5': 15, 'R6': 15}",,
04221000,0.8563473394823511,0.03171937875350907,TimingFailure,"{'R0': 3, 'R1': 23, 'R2': 0, 'R3': 460, 'R4': 2, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5479, 'R2': 5479, 'R3': 5479, 'R4': 15, 'R5': 15, 'R6': 15}",,
04224775,0.713642814718655,0.05439122537133123,TimingFailure,"{'R0': 39, 'R1': 100, 'R2': 1, 'R3': 485, 'R4': 4, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5479, 'R2': 5479, 'R3': 5479, 'R4': 15, 'R5': 15, 'R6': 15}",,
04233000,0.8449760487392569,0.07126778435411397,TimingFailure,"{'R0': 69, 'R1': 223, 'R2': 34, 'R3': 581, 'R4': 5, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5479, 'R2': 5479, 'R3': 5479, 'R4': 15, 'R5': 15, 'R6': 15}",,
04256000,0.7573050286034113,0.06958690758654255,TimingFailure,"{'R0': 0, 'R1': 10, 'R2': 0, 'R3': 102, 'R4': 7, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5479, 'R2': 5479, 'R3': 5479, 'R4': 15, 'R5': 15, 'R6': 15}",,
04296000,0.852132340183732,0.07297647293996992,TimingFailure,"{'R0': 0, 'R1': 5, 'R2': 0, 'R3': 237, 'R4': 7, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5479, 'R2': 5479, 'R3': 5479, 'R4': 15, 'R5': 15, 'R6': 15}",,
05056000,0.008692340893546868,0.35143882703656387,MagnitudeFailure,"{'R0': 1897, 'R1': 2912, 'R2': 1267, 'R3': 2289, 'R4': 14, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5479, 'R2': 5479, 'R3': 5479, 'R4': 15, 'R5': 15, 'R6': 15}",,
05057000,0.11478807947281355,0.3090553542095794,TimingFailure,"{'R0': 1450, 'R1': 2549, 'R2': 1687, 'R3': 1784, 'R4': 12, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5479, 'R2': 5479, 'R3': 5479, 'R4': 15, 'R5': 15, 'R6': 15}",,
05057200,0.057239868834817464,0.364767640949426,MagnitudeFailure,"{'R0': 2433, 'R1': 3062, 'R2': 1475, 'R3': 3002, 'R4': 10, 'R5': 0, 'R6': 1}","{'R0': 5479, 'R1': 5479, 'R2': 5479, 'R3': 5479, 'R4': 15, 'R5': 15, 'R6': 15}",,
05062500,0.23985157153825942,0.2955096559101067,TimingFailure,"{'R0': 1461, 'R1': 2481, 'R2': 1430, 'R3': 1577, 'R4': 12, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5477, 'R2': 5479, 'R3': 5477, 'R4': 15, 'R5': 15, 'R6': 15}",,
05087500,0.025869587514198877,0.2475039658746146,MagnitudeFailure,"{'R0': 883, 'R1': 2077, 'R2': 246, 'R3': 2267, 'R4': 11, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5477, 'R2': 5479, 'R3': 5477, 'R4': 15, 'R5': 15, 'R6': 15}",,
05120500,0.06363971960451575,0.457096798729102,MagnitudeFailure,"{'R0': 2853, 'R1': 3816, 'R2': 1871, 'R3': 3640, 'R4': 12, 'R5': 0, 'R6': 2}","{'R0': 5479, 'R1': 5310, 'R2': 5479, 'R3': 5310, 'R4': 15, 'R5': 15, 'R6': 15}",,
05123400,0.08457673542721778,0.43294220035986475,MagnitudeFailure,"{'R0': 3110, 'R1': 2169, 'R2': 936, 'R3': 1978, 'R4': 14, 'R5': 0, 'R6': 2}","{'R0': 5479, 'R1': 3384, 'R2': 5479, 'R3': 3384, 'R4': 15, 'R5': 15, 'R6': 15}",,
05129115,0.734857357318423,0.15895670916660148,TimingFailure,"{'R0': 0, 'R1': 154, 'R2': 0, 'R3': 1194, 'R4': 13, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5479, 'R2': 5479, 'R3': 5479, 'R4': 15, 'R5': 15, 'R6': 15}",,
05131500,0.7187136332516819,0.1453775888891786,TimingFailure,"{'R0': 169, 'R1': 446, 'R2': 105, 'R3': 1203, 'R4': 10, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5479, 'R2': 5479, 'R3': 5479, 'R4': 15, 'R5': 15, 'R6': 15}",,
05291000,0.24659617201386086,0.2882729729964627,MagnitudeFailure,"{'R0': 1729, 'R1': 2553, 'R2': 1401, 'R3': 2451, 'R4': 7, 'R5': 0, 'R6': 1}","{'R0': 5479, 'R1': 5479, 'R2': 5479, 'R3': 5479, 'R4': 15, 'R5': 15, 'R6': 15}",,
05362000,0.6788099953481449,0.08674158475217063,MagnitudeFailure,"{'R0': 0, 'R1': 188, 'R2': 0, 'R3': 2043, 'R4': 3, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5479, 'R2': 5479, 'R3': 5479, 'R4': 15, 'R5': 15, 'R6': 15}",,
05393500,0.6374128657878972,0.07360050061272913,MagnitudeFailure,"{'R0': 0, 'R1': 162, 'R2': 0, 'R3': 1565, 'R4': 3, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5479, 'R2': 5479, 'R3': 5479, 'R4': 15, 'R5': 15, 'R6': 15}",,
05399500,0.5697994021778204,0.1763582162195048,MagnitudeFailure,"{'R0': 0, 'R1': 753, 'R2': 0, 'R3': 3454, 'R4': 7, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5479, 'R2': 5479, 'R3': 5479, 'R4': 15, 'R5': 15, 'R6': 15}",,
05408000,0.8020625039563509,0.06825715502481336,TimingFailure,"{'R0': 0, 'R1': 0, 'R2': 0, 'R3': 61, 'R4': 7, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5479, 'R2': 5479, 'R3': 5479, 'R4': 15, 'R5': 15, 'R6': 15}",,
05412500,0.7938258114238834,0.0727609313482648,TimingFailure,"{'R0': 0, 'R1': 16, 'R2': 0, 'R3': 583, 'R4': 6, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5479, 'R2': 5479, 'R3': 5479, 'R4': 15, 'R5': 15, 'R6': 15}",,
05413500,0.6833278553933224,0.050487141379640006,TimingFailure,"{'R0': 0, 'R1': 8, 'R2': 0, 'R3': 102, 'R4': 5, 'R5': 0, 'R6': 0}","{'R0': 5479, 'R1': 5479, 'R2': 5479, 'R3': 5479, 'R4': 15, 'R5': 15, 'R6': 15}",,
